"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",11.38,0,11.38,240,"1 cup",30,"1 fl oz"
"Cream substitute, liquid, with lauric acid oil and sodium caseinate",11.38,0,,15,"1 container,  individual",120,".5 cup"
"Cream substitute, powdered",54.88,0,54.88,94,"1 cup",2,"1 tsp"
"Dessert topping, powdered",52.54,0,52.54,43,"1.5 oz",1.3,"1 portion,  amount to make 1 tbsp"
"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",17.13,0,17.13,80,"1 cup",4,"1 tbsp"
"Dessert topping, pressurized",16.07,0,16.07,70,"1 cup",4,"1 tbsp"
"Dessert topping, semi solid, frozen",23.05,0,23.05,75,"1 cup",4,"1 tbsp"
"Sour cream, imitation, cultured",6.63,0,6.63,230,"1 cup",28.35,"1 oz"
"Milk substitutes, fluid, with lauric acid oil",6.16,0,,244,"1 cup",976,"1 quart"
"Milk, whole, 3.25% milkfat, with added vitamin D",4.8,0,5.05,244,"1 cup",15,"1 tbsp"
"Milk, producer, fluid, 3.7% milkfat",4.65,0,,244,"1 cup",976,"1 quart"
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",4.8,0,5.06,244,"1 cup",30.5,"1 fl oz"
"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D",4.97,0,,245,"1 cup",980,"1 quart"
"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D",5.49,0,5.26,246,"1 cup",984,"1 quart"
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",4.99,0,5.2,244,"1 cup",30.5,"1 fl oz"
"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D",4.97,0,,245,"1 cup",980,"1 quart"
"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D",5.52,0,,246,"1 cup",984,"1 quart"
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",4.96,0,5.09,245,"1 cup",30.6,"1 fl oz"
